construct_1,construct_2,correlation
Aesthetic Appreciation/Artistic Interests,Immoderation,0.04047471306855229
Morality,Immoderation,-0.29833645567553263
Orderliness,Immoderation,-0.22984245641964118
Depression,Immoderation,0.41438114537692294
Assertiveness,Immoderation,-0.02796384446528201
Emotionality,Immoderation,0.2093740169879777
Altruism,Immoderation,-0.11347210614238568
Dutifulness,Immoderation,-0.41597981517014515
Self-consciousness,Immoderation,0.22476779108317949
Activity-Level,Immoderation,-0.13389715333100644
Adventurousness,Immoderation,-0.051162774295579944
Cooperation,Immoderation,-0.24339942755182162
Achievement-Striving,Immoderation,-0.2692635966434106
Immoderation,Immoderation,1
Excitement-Seeking,Immoderation,0.2188924661706044
Intellect,Immoderation,-0.09309255331690298
Modesty/Humility,Immoderation,-0.019288544996092234
Self-Discipline,Immoderation,-0.4065687053245372
Vulnerability,Immoderation,0.400953255758614
Cheerfulness,Immoderation,0.013217236722802521
Liberalism,Immoderation,0.10462903860149422
Sympathy,Immoderation,-0.01144839760827728
Cautiousness,Immoderation,-0.5101427933483291
Anxiety,Excitement-Seeking,-0.21033613861296505
Friendliness,Excitement-Seeking,0.32763076052821416
Imagination,Excitement-Seeking,0.2515163664480402
Trust,Excitement-Seeking,0.04498989877480266
Self-Efficacy,Excitement-Seeking,-0.02155395978826304
Anger,Excitement-Seeking,0.01831008124337858
Gregariousness,Excitement-Seeking,0.5447395756768205
Aesthetic Appreciation/Artistic Interests,Excitement-Seeking,0.12897272335304513
Morality,Excitement-Seeking,-0.3748258395772821
Orderliness,Excitement-Seeking,-0.2592833940752609
Depression,Excitement-Seeking,-0.08223092979252017
Assertiveness,Excitement-Seeking,0.3558451111673293
Emotionality,Excitement-Seeking,0.035487287589856864
Altruism,Excitement-Seeking,0.03368606926755794
Dutifulness,Excitement-Seeking,-0.33711942104883774
Self-consciousness,Excitement-Seeking,-0.33468730602442376
Activity-Level,Excitement-Seeking,0.13916111109965829
Adventurousness,Excitement-Seeking,0.420886760802944
Cooperation,Excitement-Seeking,-0.30816772936836695
Achievement-Striving,Excitement-Seeking,-0.024750850037191637
Immoderation,Excitement-Seeking,0.2188924661706044
Excitement-Seeking,Excitement-Seeking,1
Intellect,Excitement-Seeking,0.05587113517216438
Modesty/Humility,Excitement-Seeking,-0.25765425267152775
Self-Discipline,Excitement-Seeking,-0.09658593634938738
Vulnerability,Excitement-Seeking,-0.0991851528435043
Cheerfulness,Excitement-Seeking,0.39325485441687114
Liberalism,Excitement-Seeking,0.08807122325109243
Sympathy,Excitement-Seeking,-0.13562097567163423
Cautiousness,Excitement-Seeking,-0.5768312771595583
Anxiety,Intellect,-0.18906818819595503
Friendliness,Intellect,-0.010921952557274704
Imagination,Intellect,0.4218804164040717
Trust,Intellect,0.030293426326508707
Self-Efficacy,Intellect,0.389111882264005
Anger,Intellect,-0.1466396062052152
Gregariousness,Intellect,-0.0862515772539241
Aesthetic Appreciation/Artistic Interests,Intellect,0.40141855128293935
Morality,Intellect,0.02761524639799264
Orderliness,Intellect,-0.10750218870172253
Depression,Intellect,-0.0790913299533121
Assertiveness,Intellect,0.23230995381495667
Emotionality,Intellect,0.2045831252207076
Altruism,Intellect,0.10053742242758443
Dutifulness,Intellect,0.0947851496115135
Self-consciousness,Intellect,-0.21961771982798722
Activity-Level,Intellect,0.10785030080222115
Adventurousness,Intellect,0.38486445376852507
Cooperation,Intellect,-0.02962200694642961
Achievement-Striving,Intellect,0.2363285246201139
Immoderation,Intellect,-0.09309255331690298
Excitement-Seeking,Intellect,0.05587113517216438
Intellect,Intellect,0.9999999999999998
Modesty/Humility,Intellect,-0.22538042333288102
Self-Discipline,Intellect,0.06586547667978239
Vulnerability,Intellect,-0.3297955287601671
Cheerfulness,Intellect,0.09442019721593972
Liberalism,Intellect,0.2430345833411302
Sympathy,Intellect,0.12823398959610882
Cautiousness,Intellect,0.12022417989332669
Anxiety,Modesty/Humility,0.22276454148684063
Friendliness,Modesty/Humility,-0.25076272725039594
Imagination,Modesty/Humility,-0.13765759285944135
Trust,Modesty/Humility,-0.05538443075761127
Self-Efficacy,Modesty/Humility,-0.29891722255725617
Anger,Modesty/Humility,0.014338129125012256
Gregariousness,Modesty/Humility,-0.29208320647295766
Aesthetic Appreciation/Artistic Interests,Modesty/Humility,-0.011529947777218304
Morality,Modesty/Humility,0.3752309629995838
Orderliness,Modesty/Humility,0.050571995059755286
Depression,Modesty/Humility,0.3458702298842581
Assertiveness,Modesty/Humility,-0.5651725985171193
Emotionality,Modesty/Humility,-0.05187646395321225
Altruism,Modesty/Humility,0.13111660655381785
Dutifulness,Modesty/Humility,0.1532307593763987
Self-consciousness,Modesty/Humility,0.4520601472851979
Activity-Level,Modesty/Humility,-0.18268123887687543
Adventurousness,Modesty/Humility,-0.21119311376041872
Cooperation,Modesty/Humility,0.3178143558924275
Achievement-Striving,Modesty/Humility,-0.17922898299879117
Immoderation,Modesty/Humility,-0.019288544996092234
Excitement-Seeking,Modesty/Humility,-0.25765425267152775
Intellect,Modesty/Humility,-0.22538042333288102
Modesty/Humility,Modesty/Humility,1
Self-Discipline,Modesty/Humility,-0.029899346734660454
Vulnerability,Modesty/Humility,0.27045401640013195
Cheerfulness,Modesty/Humility,-0.2712563290228918
Liberalism,Modesty/Humility,-0.035256456026368115
Sympathy,Modesty/Humility,0.22402688211194585
Cautiousness,Modesty/Humility,0.11341924027560468
Anxiety,Self-Discipline,-0.25985595349335594
Friendliness,Self-Discipline,0.25055128339598476
Imagination,Self-Discipline,-0.24546711208019387
Trust,Self-Discipline,0.15755925993185146
Self-Efficacy,Self-Discipline,0.595653015351936
Anger,Self-Discipline,-0.23100458634864057
Gregariousness,Self-Discipline,0.1261837702778515
Aesthetic Appreciation/Artistic Interests,Self-Discipline,0.040798522943533304
Morality,Self-Discipline,0.2903824011037556
Orderliness,Self-Discipline,0.5681747478148322
Depression,Self-Discipline,-0.4365594803424815
Assertiveness,Self-Discipline,0.29760469193864725
Emotionality,Self-Discipline,-0.05042580957334797
Altruism,Self-Discipline,0.23752525480649717
Dutifulness,Self-Discipline,0.526021904578609
Self-consciousness,Self-Discipline,-0.32562258477736705
Activity-Level,Self-Discipline,0.5267167255345411
Adventurousness,Self-Discipline,0.1124145018296553
Cooperation,Self-Discipline,0.16969542881918495
Achievement-Striving,Self-Discipline,0.6920321717764144
Immoderation,Self-Discipline,-0.4065687053245372
Excitement-Seeking,Self-Discipline,-0.09658593634938738
Intellect,Self-Discipline,0.06586547667978239
Modesty/Humility,Self-Discipline,-0.029899346734660454
Self-Discipline,Self-Discipline,1
Vulnerability,Self-Discipline,-0.40099649413304045
Cheerfulness,Self-Discipline,0.10849992964220682
Liberalism,Self-Discipline,-0.229672117868544
Sympathy,Self-Discipline,-0.006682845300631531
Cautiousness,Self-Discipline,0.43487191840609835
Anxiety,Vulnerability,0.7924199643356569
Friendliness,Vulnerability,-0.2873248852072199
Imagination,Vulnerability,0.06160057981871681
Trust,Vulnerability,-0.24276780462428102
Self-Efficacy,Vulnerability,-0.6494413934088603
Anger,Vulnerability,0.5584036886309813
Gregariousness,Vulnerability,-0.17420055135670026
Aesthetic Appreciation/Artistic Interests,Vulnerability,-0.018474907920228874
Morality,Vulnerability,-0.07415898514330342
Orderliness,Vulnerability,-0.059210089089048484
Depression,Vulnerability,0.6588227393427794
Assertiveness,Vulnerability,-0.3796761873066941
Emotionality,Vulnerability,0.31577947828890096
Altruism,Vulnerability,-0.1326802255818848
Dutifulness,Vulnerability,-0.2682186326911823
Self-consciousness,Vulnerability,0.6096058595026994
Activity-Level,Vulnerability,-0.23351111807033517
Adventurousness,Vulnerability,-0.365071113182511
Cooperation,Vulnerability,-0.09520052425977647
Achievement-Striving,Vulnerability,-0.3770093169666413
Immoderation,Vulnerability,0.400953255758614
Excitement-Seeking,Vulnerability,-0.0991851528435043
Intellect,Vulnerability,-0.3297955287601671
Modesty/Humility,Vulnerability,0.27045401640013195
Self-Discipline,Vulnerability,-0.40099649413304045
Vulnerability,Vulnerability,1
Cheerfulness,Vulnerability,-0.27864688859871334
Liberalism,Vulnerability,0.08800725935994955
Sympathy,Vulnerability,0.11916417429022758
Cautiousness,Vulnerability,-0.2760905959521797
Anxiety,Cheerfulness,-0.34085332672586366
Friendliness,Cheerfulness,0.6377471940082725
Imagination,Cheerfulness,0.20803712941450483
Trust,Cheerfulness,0.45364022306653823
Self-Efficacy,Cheerfulness,0.29744488878206504
Anger,Cheerfulness,-0.29579633585459936
Gregariousness,Cheerfulness,0.5449114119699473
Aesthetic Appreciation/Artistic Interests,Cheerfulness,0.2816226388544328
Morality,Cheerfulness,0.05800242123073087
Orderliness,Cheerfulness,-0.06330361523595783
Depression,Cheerfulness,-0.49204131204710255
Assertiveness,Cheerfulness,0.3952485075337561
Emotionality,Cheerfulness,0.17417564416107056
Altruism,Cheerfulness,0.4643274628371347
Dutifulness,Cheerfulness,0.11767097358278879
Self-consciousness,Cheerfulness,-0.38887229665802214
Activity-Level,Cheerfulness,0.13499489998129086
Adventurousness,Cheerfulness,0.32394019648075006
Cooperation,Cheerfulness,0.14455401980171212
Achievement-Striving,Cheerfulness,0.20205094708013024
Immoderation,Cheerfulness,0.013217236722802521
Excitement-Seeking,Cheerfulness,0.39325485441687114
Intellect,Cheerfulness,0.09442019721593972
Modesty/Humility,Cheerfulness,-0.2712563290228918
Self-Discipline,Cheerfulness,0.10849992964220682
Vulnerability,Cheerfulness,-0.27864688859871334
Cheerfulness,Cheerfulness,0.9999999999999999
Liberalism,Cheerfulness,-0.025711192094435127
Sympathy,Cheerfulness,0.20085248886671456
Cautiousness,Cheerfulness,-0.17214390563899562
Anxiety,Liberalism,0.05248240854054954
Friendliness,Liberalism,-0.0994294027170327
Imagination,Liberalism,0.23360077770352333
Trust,Liberalism,0.02344188477264441
Self-Efficacy,Liberalism,-0.12407042710105372
Anger,Liberalism,-9.790172711978242e-4
Gregariousness,Liberalism,-0.06031648226254581
Aesthetic Appreciation/Artistic Interests,Liberalism,0.24899880899429291
Morality,Liberalism,-0.12901380178275546
Orderliness,Liberalism,-0.269145953098831
Depression,Liberalism,0.14463968769326407
Assertiveness,Liberalism,-0.06633900805200306
Emotionality,Liberalism,0.15911063135631864
Altruism,Liberalism,-0.012385104182800678
Dutifulness,Liberalism,-0.23773707146084097
Self-consciousness,Liberalism,0.050197596323316475
Activity-Level,Liberalism,-0.14069500803783205
Adventurousness,Liberalism,0.22807861085069514
Cooperation,Liberalism,-0.008315083600731783
Achievement-Striving,Liberalism,-0.19531623731237893
Immoderation,Liberalism,0.10462903860149422
Excitement-Seeking,Liberalism,0.08807122325109243
Intellect,Liberalism,0.2430345833411302
Modesty/Humility,Liberalism,-0.035256456026368115
Self-Discipline,Liberalism,-0.229672117868544
Vulnerability,Liberalism,0.08800725935994955
Cheerfulness,Liberalism,-0.025711192094435127
Liberalism,Liberalism,1
Sympathy,Liberalism,0.2586986624347345
Cautiousness,Liberalism,-0.12507080620463054
Anxiety,Sympathy,0.1353799848100307
Friendliness,Sympathy,0.23757014490823325
Imagination,Sympathy,0.1338372687807068
Trust,Sympathy,0.3616625767552971
Self-Efficacy,Sympathy,0.026128334571517565
Anger,Sympathy,-0.16534191257926076
Gregariousness,Sympathy,0.093176553479579
Aesthetic Appreciation/Artistic Interests,Sympathy,0.39005181319791427
Morality,Sympathy,0.427936181404402
Orderliness,Sympathy,-0.023606219087989388
Depression,Sympathy,0.026902050116042183
Assertiveness,Sympathy,-0.07867263357299897
Emotionality,Sympathy,0.4386239681904673
Altruism,Sympathy,0.6308786106033472
Dutifulness,Sympathy,0.2541277917593439
Self-consciousness,Sympathy,0.1025840967112254
Activity-Level,Sympathy,-0.04599170940630882
Adventurousness,Sympathy,0.1309914210387208
Cooperation,Sympathy,0.45174925792879905
Achievement-Striving,Sympathy,0.039370331098953874
Immoderation,Sympathy,-0.01144839760827728
Excitement-Seeking,Sympathy,-0.13562097567163423
Intellect,Sympathy,0.12823398959610882
Modesty/Humility,Sympathy,0.22402688211194585
Self-Discipline,Sympathy,-0.006682845300631531
Vulnerability,Sympathy,0.11916417429022758
Cheerfulness,Sympathy,0.20085248886671456
Liberalism,Sympathy,0.2586986624347345
Sympathy,Sympathy,0.9999999999999999
Cautiousness,Sympathy,0.11777975786664692
Anxiety,Cautiousness,-0.110386100587052
Friendliness,Cautiousness,-0.06270320638850133
Imagination,Cautiousness,-0.24162944292275287
Trust,Cautiousness,0.09037363973416736
Self-Efficacy,Cautiousness,0.4449479245339433
Anger,Cautiousness,-0.3033613041190787
Gregariousness,Cautiousness,-0.24295069788878904
Aesthetic Appreciation/Artistic Interests,Cautiousness,-0.003962790042790679
Morality,Cautiousness,0.44216508930849924
Orderliness,Cautiousness,0.43317459118063384
Depression,Cautiousness,-0.2555696000045557
Assertiveness,Cautiousness,-0.08986648824844701
Emotionality,Cautiousness,-0.09081514735835962
Altruism,Cautiousness,0.15802698067920368
Dutifulness,Cautiousness,0.5800254577530038
Self-consciousness,Cautiousness,0.0096333981638758
Activity-Level,Cautiousness,0.06647867531430648
Adventurousness,Cautiousness,-0.16108105439167972
Cooperation,Cautiousness,0.3701636189020912
Achievement-Striving,Cautiousness,0.35538457786197675
Immoderation,Cautiousness,-0.5101427933483291
Excitement-Seeking,Cautiousness,-0.5768312771595583
Intellect,Cautiousness,0.12022417989332669
Modesty/Humility,Cautiousness,0.11341924027560468
Self-Discipline,Cautiousness,0.43487191840609835
Vulnerability,Cautiousness,-0.2760905959521797
Cheerfulness,Cautiousness,-0.17214390563899562
Liberalism,Cautiousness,-0.12507080620463054
Sympathy,Cautiousness,0.11777975786664692
Cautiousness,Cautiousness,1
